Identifier,BACKGROUND,LINE,GENOTYPE,SEX,RawCoord1,RawCoord2,RawCoord3,RawCoord4,RawCoord5,RawCoord6,RawCoord7,RawCoord8,RawCoord9,RawCoord10,RawCoord11,RawCoord12,RawCoord13,RawCoord14,RawCoord15,RawCoord16,RawCoord17,RawCoord18,Centroid Size,Log Centroid Size
Ore_10305_w_M_00008.jpg,Ore,10305,w,M,672,231,568,300,565,363,415,363,415,383,308,371,757,601,939,524,934,436,712.9954028214,6.5694749727
Ore_10305_w_M_00009.jpg,Ore,10305,w,M,732,250,642,342,657,407,504,441,507,463,385,471,892,614,1065,495,1044,403,741.671835188,6.6089068747
Ore_10305_w_M_00010.jpg,Ore,10305,w,M,715,299,615,370,616,430,473,439,473,460,373,453,818,652,986,559,975,473,686.1475383942,6.5310926751
Ore_10372_p_F_00002.jpg,Ore,10372,p,F,796,346,711,453,732,528,568,582,574,607,453,627,1021,710,1179,566,1145,473,801.529925968,6.6865223088
Ore_10372_p_F_00003.jpg,Ore,10372,p,F,751,453,650,559,666,637,501,682,507,709,373,724,960,831,1121,703,1100,612,822.6203390521,6.7124947808
Ore_10372_p_F_00004.jpg,Ore,10372,p,F,763,387,664,491,684,568,511,615,514,641,374,656,983,759,1144,626,1116,538,837.3395700405,6.7302296872
Ore_10372_p_F_00005.jpg,Ore,10372,p,F,587,373,569,512,625,569,529,697,549,715,445,807,972,557,1027,340,952,287,810.671326741,6.6978627028
Ore_10372_p_F_00006.jpg,Ore,10372,p,F,718,443,638,546,657,624,490,672,494,697,357,712,952,816,1111,679,1083,589,822.9772509344,6.7129285587
Ore_10372_p_F_00007.jpg,Ore,10372,p,F,625,549,558,662,588,731,440,800,449,823,321,859,888,878,1026,716,982,633,782.4282714729,6.6624022524
Ore_10372_p_F_00008.jpg,Ore,10372,p,F,717,451,627,559,651,636,487,690,493,716,353,740,955,818,1108,674,1076,583,825.713698028,6.7162481009
Ore_10372_p_F_00009.jpg,Ore,10372,p,F,677,407,595,508,617,583,445,630,448,654,321,672,900,766,1063,624,1032,539,809.2558996455,6.696115183
Ore_10372_p_F_00010.jpg,Ore,10372,p,F,709,475,617,579,639,660,464,713,467,738,332,759,936,853,1093,709,1063,619,834.1196290434,6.7263768322
Ore_10372_p_M_00001.jpg,Ore,10372,p,M,763,400,679,502,698,564,554,608,555,630,446,644,947,741,1104,610,1072,522,721.3675284563,6.5811487556
Ore_10372_p_M_00002.jpg,Ore,10372,p,M,706,442,630,538,648,600,503,644,509,663,403,681,890,768,1029,646,1002,561,691.0155167899,6.5381622791
Ore_10372_p_M_00003.jpg,Ore,10372,p,M,730,355,667,468,696,529,548,601,559,622,449,657,982,661,1107,504,1061,423,740.8984035915,6.6078635087
Ore_10372_p_M_00004.jpg,Ore,10372,p,M,679,464,601,567,627,632,484,687,490,708,383,732,887,792,1023,657,986,568,711.1468046598,6.5668788848
Ore_10372_p_M_00005.jpg,Ore,10372,p,M,635,464,551,563,569,627,424,672,429,693,322,711,826,790,958,664,929,581,703.9248697285,6.5566716313
Ore_10372_p_M_00006.jpg,Ore,10372,p,M,751,334,666,436,692,501,529,552,536,572,424,592,942,672,1092,543,1062,457,735.2792364507,6.6002503406
Ore_10372_p_M_00007.jpg,Ore,10372,p,M,740,485,658,581,675,648,516,689,522,711,403,723,914,834,1076,709,1052,624,734.4869713692,6.5991722574
